Classroom,Subject,Student_Name,Student_Email,Subject_Teacher
129,History,Mona Cyan,mona.cyan@email.com,Prof. Rita
136,History,Ivy Pink,ivy.pink@university.edu,Prof. Charlie
169,Geography,Alice Gray,alice.gray@email.com,Prof. Frank
305,Economics,Liam Brown,liam.brown@student.org,Prof. Rita
139,Chemistry,Liam Davis,liam.davis@university.edu,Prof. Frank
256,Philosophy,Kelly Brown,kelly.brown@university.edu,Prof. Grace
340,Psychology,Quincy Magenta,quincy.magenta@student.org,Prof. Paul
153,Mathematics,Liam Teal,liam.teal@university.edu,Prof. Jack
236,Physics,Rita Magenta,rita.magenta@email.com,Prof. Eve
340,English,Paul Magenta,paul.magenta@student.org,Prof. Bob
233,Anthropology,Paul Pink,paul.pink@university.edu,Prof. Bob
567,Biology,Charlie Teal,charlie.teal@email.com,Prof. Nick
296,Sociology,Quincy Pink,quincy.pink@email.com,Prof. Paul
447,Environmental Science,Liam Black,liam.black@student.org,Prof. Quincy
531,Anthropology,Ivy Orange,ivy.orange@email.com,Prof. Charlie
482,Sociology,Frank Red,frank.red@university.edu,Prof. Grace
170,English,Olivia White,olivia.white@student.org,Prof. Nick
206,Architecture,Paul Teal,paul.teal@student.org,Prof. Paul
512,Psychology,Jack Magenta,jack.magenta@student.org,Prof. Dana
419,Architecture,Kelly Black,kelly.black@email.com,Prof. Tina
554,Music,Charlie Violet,charlie.violet@university.edu,Prof. Alice
543,Psychology,Quincy Gray,quincy.gray@university.edu,Prof. Charlie
215,Philosophy,Tina Green,tina.green@student.org,Prof. Charlie
380,Political Science,Quincy Azure,quincy.azure@student.org,Prof. Ivy
290,Music,Dana Indigo,dana.indigo@university.edu,Prof. Jack
350,Art,Charlie Brown,charlie.brown@student.org,Prof. Frank
188,English,Ivy White,ivy.white@email.com,Prof. Kelly
525,Philosophy,Paul Teal,paul.teal@email.com,Prof. Sam
298,Music,Eve White,eve.white@student.org,Prof. Nick
133,Anthropology,Dana Brown,dana.brown@student.org,Prof. Frank
512,Art,Rita Indigo,rita.indigo@student.org,Prof. Frank
270,Statistics,Hank Green,hank.green@university.edu,Prof. Tina
585,Geography,Bob Magenta,bob.magenta@university.edu,Prof. Grace
274,English,Olivia Red,olivia.red@email.com,Prof. Charlie
526,Architecture,Mona Magenta,mona.magenta@email.com,Prof. Paul
143,Statistics,Charlie Violet,charlie.violet@email.com,Prof. Tina
426,Music,Eve Black,eve.black@email.com,Prof. Jack
336,Economics,Quincy Beige,quincy.beige@student.org,Prof. Sam
302,Computer Science,Quincy Indigo,quincy.indigo@email.com,Prof. Rita
164,Economics,Grace Purple,grace.purple@university.edu,Prof. Frank
141,Architecture,Charlie Azure,charlie.azure@student.org,Prof. Sam
563,Chemistry,Kelly Violet,kelly.violet@university.edu,Prof. Grace
402,Anthropology,Charlie Orange,charlie.orange@university.edu,Prof. Ivy
424,Psychology,Tina Brown,tina.brown@student.org,Prof. Grace
385,Geography,Jack Green,jack.green@email.com,Prof. Kelly
220,Economics,Quincy Beige,quincy.beige@university.edu,Prof. Quincy
524,Philosophy,Paul Red,paul.red@email.com,Prof. Tina
141,Engineering,Liam Cyan,liam.cyan@university.edu,Prof. Nick
218,Mathematics,Liam White,liam.white@student.org,Prof. Grace
201,Economics,Hank Purple,hank.purple@student.org,Prof. Tina
565,Engineering,Mona Cyan,mona.cyan@email.com,Prof. Sam
472,Physics,Rita Gray,rita.gray@email.com,Prof. Tina
484,Statistics,Grace Pink,grace.pink@email.com,Prof. Nick
545,Art,Tina Johnson,tina.johnson@university.edu,Prof. Sam
528,Psychology,Liam Indigo,liam.indigo@university.edu,Prof. Rita
438,Engineering,Nick Brown,nick.brown@student.org,Prof. Jack
306,Computer Science,Ivy White,ivy.white@student.org,Prof. Quincy
584,Statistics,Alice Cyan,alice.cyan@email.com,Prof. Tina
219,Economics,Quincy Violet,quincy.violet@student.org,Prof. Olivia
460,Statistics,Sam Magenta,sam.magenta@university.edu,Prof. Tina
163,Architecture,Ivy Black,ivy.black@student.org,Prof. Nick
251,Political Science,Grace Teal,grace.teal@university.edu,Prof. Dana
252,Environmental Science,Paul Green,paul.green@university.edu,Prof. Quincy
128,Statistics,Grace Orange,grace.orange@university.edu,Prof. Mona
370,Biology,Quincy Pink,quincy.pink@university.edu,Prof. Jack
298,Philosophy,Kelly Indigo,kelly.indigo@student.org,Prof. Bob
265,Geography,Eve Teal,eve.teal@email.com,Prof. Eve
331,Engineering,Bob Green,bob.green@student.org,Prof. Bob
346,Physics,Frank Pink,frank.pink@student.org,Prof. Paul
102,Biology,Tina Davis,tina.davis@email.com,Prof. Rita
435,Physics,Tina Magenta,tina.magenta@email.com,Prof. Grace
330,Philosophy,Ivy Pink,ivy.pink@student.org,Prof. Hank
406,Chemistry,Ivy Brown,ivy.brown@email.com,Prof. Tina
229,Mathematics,Sam Pink,sam.pink@university.edu,Prof. Alice
531,Statistics,Ivy Red,ivy.red@email.com,Prof. Nick
300,English,Charlie Orange,charlie.orange@email.com,Prof. Bob
176,Philosophy,Grace Magenta,grace.magenta@university.edu,Prof. Ivy
123,Biology,Eve Teal,eve.teal@email.com,Prof. Eve
269,Mathematics,Mona Orange,mona.orange@student.org,Prof. Jack
354,Sociology,Charlie Cyan,charlie.cyan@email.com,Prof. Paul
199,Environmental Science,Grace Yellow,grace.yellow@email.com,Prof. Alice
205,Sociology,Bob White,bob.white@student.org,Prof. Nick
240,History,Frank Purple,frank.purple@university.edu,Prof. Frank
581,Engineering,Alice Johnson,alice.johnson@email.com,Prof. Ivy
563,Economics,Grace Gray,grace.gray@student.org,Prof. Tina
434,Architecture,Mona Davis,mona.davis@university.edu,Prof. Mona
166,Music,Jack Davis,jack.davis@student.org,Prof. Tina
239,Art,Alice Indigo,alice.indigo@student.org,Prof. Nick
254,Statistics,Rita Orange,rita.orange@email.com,Prof. Grace
119,English,Quincy Teal,quincy.teal@university.edu,Prof. Sam
205,Mathematics,Grace Pink,grace.pink@student.org,Prof. Dana
518,Engineering,Frank Beige,frank.beige@email.com,Prof. Alice
412,Economics,Bob Gray,bob.gray@email.com,Prof. Olivia
129,English,Quincy Gray,quincy.gray@student.org,Prof. Mona
461,Environmental Science,Liam Brown,liam.brown@student.org,Prof. Dana
142,Economics,Bob Brown,bob.brown@university.edu,Prof. Charlie
193,English,Paul Cyan,paul.cyan@student.org,Prof. Tina
193,Physics,Dana Indigo,dana.indigo@student.org,Prof. Dana
310,Physics,Jack Black,jack.black@email.com,Prof. Sam
389,Economics,Grace Davis,grace.davis@university.edu,Prof. Paul
422,Economics,Olivia Indigo,olivia.indigo@student.org,Prof. Bob
302,Anthropology,Alice Green,alice.green@email.com,Prof. Mona
406,Engineering,Dana Gray,dana.gray@student.org,Prof. Olivia
197,Sociology,Hank Pink,hank.pink@email.com,Prof. Quincy
378,Sociology,Grace Davis,grace.davis@email.com,Prof. Olivia
158,History,Frank Johnson,frank.johnson@email.com,Prof. Olivia
271,Biology,Paul Teal,paul.teal@email.com,Prof. Eve
331,Art,Nick Magenta,nick.magenta@university.edu,Prof. Frank
358,Chemistry,Bob White,bob.white@student.org,Prof. Charlie
557,Economics,Bob Violet,bob.violet@email.com,Prof. Kelly
412,Art,Sam Indigo,sam.indigo@email.com,Prof. Nick
344,Music,Tina Red,tina.red@university.edu,Prof. Liam
443,Physics,Grace Purple,grace.purple@student.org,Prof. Tina
150,Music,Olivia Azure,olivia.azure@university.edu,Prof. Liam
515,Mathematics,Jack Orange,jack.orange@email.com,Prof. Grace
433,Statistics,Mona Brown,mona.brown@student.org,Prof. Quincy
398,Economics,Rita Orange,rita.orange@email.com,Prof. Frank
437,Anthropology,Mona Indigo,mona.indigo@student.org,Prof. Tina
584,Mathematics,Eve Cyan,eve.cyan@university.edu,Prof. Paul
318,Anthropology,Frank Violet,frank.violet@university.edu,Prof. Grace
494,Geography,Tina Azure,tina.azure@university.edu,Prof. Bob
359,Physics,Kelly Beige,kelly.beige@university.edu,Prof. Sam
198,Mathematics,Hank Pink,hank.pink@university.edu,Prof. Liam
310,Biology,Sam Blue,sam.blue@university.edu,Prof. Olivia
388,Geography,Jack Violet,jack.violet@university.edu,Prof. Paul
552,Physics,Bob White,bob.white@university.edu,Prof. Eve
178,Chemistry,Liam Purple,liam.purple@student.org,Prof. Dana
303,Biology,Rita Blue,rita.blue@university.edu,Prof. Grace
309,Philosophy,Hank Black,hank.black@university.edu,Prof. Frank
276,Anthropology,Jack Indigo,jack.indigo@email.com,Prof. Olivia
340,Art,Bob Purple,bob.purple@university.edu,Prof. Frank
370,Music,Eve Green,eve.green@student.org,Prof. Frank
263,Geography,Nick Red,nick.red@student.org,Prof. Charlie
410,Mathematics,Frank Red,frank.red@university.edu,Prof. Quincy
120,Sociology,Quincy Teal,quincy.teal@email.com,Prof. Tina
221,Biology,Eve Green,eve.green@email.com,Prof. Paul
412,Physics,Sam Cyan,sam.cyan@email.com,Prof. Paul
518,Art,Bob Pink,bob.pink@university.edu,Prof. Ivy
267,Geography,Ivy Black,ivy.black@university.edu,Prof. Quincy
235,Mathematics,Ivy Yellow,ivy.yellow@email.com,Prof. Rita
424,Geography,Dana Yellow,dana.yellow@email.com,Prof. Liam
304,Art,Sam Cyan,sam.cyan@student.org,Prof. Charlie
342,Computer Science,Mona Blue,mona.blue@student.org,Prof. Grace
514,English,Rita Violet,rita.violet@email.com,Prof. Quincy
551,Architecture,Liam Azure,liam.azure@student.org,Prof. Liam
599,Chemistry,Ivy Beige,ivy.beige@university.edu,Prof. Mona
557,English,Grace Yellow,grace.yellow@email.com,Prof. Bob
179,Mathematics,Paul Violet,paul.violet@university.edu,Prof. Rita
469,Philosophy,Tina Beige,tina.beige@university.edu,Prof. Ivy
177,Political Science,Mona Orange,mona.orange@email.com,Prof. Ivy
461,Political Science,Olivia Red,olivia.red@student.org,Prof. Frank
390,English,Frank Teal,frank.teal@email.com,Prof. Ivy
262,Engineering,Nick Pink,nick.pink@email.com,Prof. Grace
496,Art,Bob Azure,bob.azure@university.edu,Prof. Kelly
359,Anthropology,Rita Beige,rita.beige@email.com,Prof. Eve
339,Engineering,Olivia Blue,olivia.blue@student.org,Prof. Paul
359,Sociology,Quincy Gray,quincy.gray@student.org,Prof. Olivia
587,Computer Science,Grace Violet,grace.violet@email.com,Prof. Hank
295,English,Kelly Brown,kelly.brown@student.org,Prof. Alice
501,Chemistry,Grace Blue,grace.blue@student.org,Prof. Olivia
362,Music,Quincy Purple,quincy.purple@student.org,Prof. Grace
183,Biology,Mona Blue,mona.blue@email.com,Prof. Dana
582,Architecture,Frank Indigo,frank.indigo@email.com,Prof. Quincy
422,Chemistry,Rita Azure,rita.azure@university.edu,Prof. Frank
144,English,Bob Gray,bob.gray@university.edu,Prof. Mona
236,Political Science,Alice Cyan,alice.cyan@student.org,Prof. Nick
164,Environmental Science,Paul Teal,paul.teal@university.edu,Prof. Eve
149,Political Science,Tina Azure,tina.azure@university.edu,Prof. Alice
366,Psychology,Tina Yellow,tina.yellow@student.org,Prof. Hank
141,Economics,Ivy Azure,ivy.azure@university.edu,Prof. Charlie
396,Computer Science,Bob Red,bob.red@email.com,Prof. Paul
516,Statistics,Rita White,rita.white@university.edu,Prof. Charlie
343,English,Bob Orange,bob.orange@email.com,Prof. Ivy
452,Statistics,Grace Orange,grace.orange@university.edu,Prof. Paul
269,Chemistry,Nick Purple,nick.purple@student.org,Prof. Nick
459,Mathematics,Ivy Beige,ivy.beige@student.org,Prof. Jack
520,Chemistry,Eve Green,eve.green@student.org,Prof. Grace
512,Music,Frank Johnson,frank.johnson@student.org,Prof. Bob
324,Statistics,Tina Azure,tina.azure@student.org,Prof. Paul
345,Environmental Science,Frank Blue,frank.blue@university.edu,Prof. Kelly
410,Engineering,Tina Yellow,tina.yellow@student.org,Prof. Dana
553,Music,Charlie Pink,charlie.pink@email.com,Prof. Ivy
254,Psychology,Nick Teal,nick.teal@university.edu,Prof. Paul
218,Statistics,Liam Green,liam.green@university.edu,Prof. Rita
363,Mathematics,Olivia Orange,olivia.orange@email.com,Prof. Liam
496,Physics,Kelly Orange,kelly.orange@email.com,Prof. Mona
353,History,Hank Azure,hank.azure@university.edu,Prof. Alice
438,Economics,Eve Beige,eve.beige@student.org,Prof. Quincy
423,Anthropology,Jack Magenta,jack.magenta@university.edu,Prof. Mona
537,Statistics,Charlie Brown,charlie.brown@student.org,Prof. Jack
428,Art,Mona Azure,mona.azure@email.com,Prof. Hank
551,Architecture,Tina Davis,tina.davis@email.com,Prof. Kelly
416,Chemistry,Tina Orange,tina.orange@student.org,Prof. Hank
240,English,Frank Indigo,frank.indigo@university.edu,Prof. Eve
461,Biology,Liam Violet,liam.violet@university.edu,Prof. Frank
508,Statistics,Mona Indigo,mona.indigo@university.edu,Prof. Charlie
547,Economics,Tina Indigo,tina.indigo@email.com,Prof. Alice
398,Political Science,Hank Azure,hank.azure@university.edu,Prof. Charlie
570,Engineering,Frank Johnson,frank.johnson@student.org,Prof. Eve
413,Architecture,Sam Violet,sam.violet@student.org,Prof. Sam
372,Political Science,Rita Violet,rita.violet@student.org,Prof. Alice
474,Political Science,Paul Brown,paul.brown@university.edu,Prof. Jack
194,Computer Science,Alice Johnson,alice.johnson@student.org,Prof. Nick
585,Geography,Alice Pink,alice.pink@student.org,Prof. Bob
539,Economics,Tina Magenta,tina.magenta@email.com,Prof. Tina
279,Engineering,Nick Davis,nick.davis@email.com,Prof. Sam
343,Architecture,Hank White,hank.white@email.com,Prof. Quincy
183,History,Jack Violet,jack.violet@student.org,Prof. Rita
446,Art,Kelly Azure,kelly.azure@university.edu,Prof. Paul
295,Music,Jack Yellow,jack.yellow@university.edu,Prof. Jack
356,Environmental Science,Ivy Blue,ivy.blue@email.com,Prof. Sam
389,Computer Science,Jack Pink,jack.pink@email.com,Prof. Olivia
444,Economics,Liam Johnson,liam.johnson@university.edu,Prof. Olivia
142,Computer Science,Olivia White,olivia.white@university.edu,Prof. Quincy
133,Political Science,Hank Yellow,hank.yellow@university.edu,Prof. Bob
137,History,Sam Brown,sam.brown@email.com,Prof. Liam
463,Chemistry,Quincy Black,quincy.black@student.org,Prof. Tina
137,Biology,Tina Blue,tina.blue@student.org,Prof. Tina
496,Psychology,Nick Black,nick.black@student.org,Prof. Dana
191,Philosophy,Rita Yellow,rita.yellow@email.com,Prof. Dana
557,Sociology,Grace Violet,grace.violet@email.com,Prof. Sam
178,Physics,Nick Cyan,nick.cyan@student.org,Prof. Sam
330,Statistics,Liam Blue,liam.blue@email.com,Prof. Mona
379,Statistics,Sam Blue,sam.blue@student.org,Prof. Frank
513,Mathematics,Jack Orange,jack.orange@university.edu,Prof. Grace
359,Chemistry,Ivy Brown,ivy.brown@email.com,Prof. Charlie
137,Physics,Liam Violet,liam.violet@university.edu,Prof. Quincy
155,History,Bob Purple,bob.purple@student.org,Prof. Liam
453,Art,Dana White,dana.white@email.com,Prof. Frank
324,Computer Science,Hank Orange,hank.orange@student.org,Prof. Frank
109,Biology,Frank Green,frank.green@student.org,Prof. Tina
554,Engineering,Rita Azure,rita.azure@student.org,Prof. Jack
370,Architecture,Tina Teal,tina.teal@email.com,Prof. Olivia
442,Biology,Dana Brown,dana.brown@university.edu,Prof. Grace
117,Statistics,Olivia Teal,olivia.teal@university.edu,Prof. Tina
314,Philosophy,Quincy Davis,quincy.davis@university.edu,Prof. Kelly
563,Geography,Ivy Purple,ivy.purple@student.org,Prof. Grace
521,English,Grace Violet,grace.violet@student.org,Prof. Nick
325,Geography,Olivia Blue,olivia.blue@university.edu,Prof. Frank
435,Music,Frank Azure,frank.azure@email.com,Prof. Liam
122,Art,Rita Black,rita.black@university.edu,Prof. Quincy
442,Architecture,Quincy Teal,quincy.teal@email.com,Prof. Dana
417,Mathematics,Nick White,nick.white@student.org,Prof. Bob
276,Engineering,Nick Johnson,nick.johnson@student.org,Prof. Frank
222,Physics,Olivia Pink,olivia.pink@university.edu,Prof. Liam
162,Environmental Science,Sam Green,sam.green@student.org,Prof. Dana
346,History,Olivia Magenta,olivia.magenta@university.edu,Prof. Liam
584,Music,Sam Green,sam.green@student.org,Prof. Dana
533,Biology,Ivy Magenta,ivy.magenta@email.com,Prof. Kelly
111,Architecture,Liam White,liam.white@student.org,Prof. Olivia
290,Geography,Rita Pink,rita.pink@email.com,Prof. Dana
160,Art,Nick Cyan,nick.cyan@email.com,Prof. Frank
108,Architecture,Hank Red,hank.red@university.edu,Prof. Rita
434,Physics,Hank Red,hank.red@student.org,Prof. Grace
505,Statistics,Charlie Violet,charlie.violet@student.org,Prof. Bob
496,Geography,Alice White,alice.white@email.com,Prof. Ivy
412,Art,Liam Orange,liam.orange@student.org,Prof. Eve
134,Geography,Ivy Black,ivy.black@university.edu,Prof. Mona
315,Economics,Jack Davis,jack.davis@student.org,Prof. Bob
288,Anthropology,Quincy Beige,quincy.beige@university.edu,Prof. Eve
241,Art,Tina Purple,tina.purple@email.com,Prof. Tina
334,Political Science,Mona Orange,mona.orange@student.org,Prof. Olivia
580,Physics,Kelly Johnson,kelly.johnson@university.edu,Prof. Tina
451,Engineering,Eve Red,eve.red@email.com,Prof. Sam
469,Biology,Dana Yellow,dana.yellow@university.edu,Prof. Quincy
248,Philosophy,Sam Orange,sam.orange@email.com,Prof. Charlie
299,Economics,Dana Blue,dana.blue@university.edu,Prof. Mona
181,English,Hank Gray,hank.gray@email.com,Prof. Sam
439,History,Dana Yellow,dana.yellow@university.edu,Prof. Dana
285,Sociology,Frank Johnson,frank.johnson@email.com,Prof. Rita
376,Philosophy,Quincy Purple,quincy.purple@email.com,Prof. Nick
258,Geography,Frank Gray,frank.gray@university.edu,Prof. Bob
175,Statistics,Bob Green,bob.green@email.com,Prof. Sam
109,Philosophy,Quincy Purple,quincy.purple@university.edu,Prof. Hank
415,Music,Alice Violet,alice.violet@email.com,Prof. Bob
191,Psychology,Sam White,sam.white@student.org,Prof. Sam
310,Anthropology,Grace Brown,grace.brown@email.com,Prof. Alice
236,Biology,Jack Magenta,jack.magenta@student.org,Prof. Hank
506,Sociology,Alice Magenta,alice.magenta@email.com,Prof. Quincy
165,Philosophy,Sam Purple,sam.purple@student.org,Prof. Olivia
578,Philosophy,Nick Magenta,nick.magenta@email.com,Prof. Eve
124,Computer Science,Kelly Purple,kelly.purple@student.org,Prof. Eve
136,Geography,Hank Blue,hank.blue@university.edu,Prof. Dana
568,Physics,Jack Cyan,jack.cyan@university.edu,Prof. Paul
303,History,Jack Teal,jack.teal@email.com,Prof. Charlie
511,Political Science,Olivia Cyan,olivia.cyan@student.org,Prof. Quincy
511,Psychology,Ivy Green,ivy.green@student.org,Prof. Grace
205,Economics,Alice Orange,alice.orange@email.com,Prof. Grace
593,Environmental Science,Eve Orange,eve.orange@student.org,Prof. Tina
162,Philosophy,Eve Pink,eve.pink@university.edu,Prof. Olivia
183,Environmental Science,Nick Cyan,nick.cyan@university.edu,Prof. Jack
529,Art,Liam Orange,liam.orange@email.com,Prof. Bob
571,Engineering,Alice Indigo,alice.indigo@university.edu,Prof. Ivy
103,Geography,Eve Blue,eve.blue@student.org,Prof. Eve
389,Economics,Rita Davis,rita.davis@email.com,Prof. Frank
295,Architecture,Nick Cyan,nick.cyan@email.com,Prof. Alice
182,Environmental Science,Bob Azure,bob.azure@student.org,Prof. Sam
357,Psychology,Ivy Johnson,ivy.johnson@email.com,Prof. Rita
418,Environmental Science,Alice Cyan,alice.cyan@student.org,Prof. Tina
387,Engineering,Liam Cyan,liam.cyan@university.edu,Prof. Frank
343,Physics,Grace Violet,grace.violet@student.org,Prof. Liam
520,Sociology,Jack Beige,jack.beige@email.com,Prof. Jack
495,Biology,Kelly Magenta,kelly.magenta@email.com,Prof. Mona
371,Economics,Bob Teal,bob.teal@student.org,Prof. Liam
259,Chemistry,Ivy Green,ivy.green@student.org,Prof. Tina
160,Economics,Tina Violet,tina.violet@student.org,Prof. Dana
543,Philosophy,Olivia Yellow,olivia.yellow@university.edu,Prof. Ivy
255,Engineering,Jack Beige,jack.beige@email.com,Prof. Ivy
117,Statistics,Quincy Orange,quincy.orange@email.com,Prof. Alice
487,Computer Science,Grace Magenta,grace.magenta@student.org,Prof. Dana
370,Biology,Liam Johnson,liam.johnson@student.org,Prof. Jack
299,Engineering,Kelly Pink,kelly.pink@university.edu,Prof. Quincy
532,Sociology,Dana Brown,dana.brown@student.org,Prof. Kelly
195,Engineering,Ivy Green,ivy.green@university.edu,Prof. Charlie
570,Computer Science,Nick Pink,nick.pink@email.com,Prof. Nick
181,Biology,Dana Orange,dana.orange@university.edu,Prof. Sam
506,Art,Hank Johnson,hank.johnson@email.com,Prof. Hank
564,Mathematics,Rita Gray,rita.gray@email.com,Prof. Quincy
271,Sociology,Olivia Orange,olivia.orange@email.com,Prof. Kelly
225,Psychology,Jack Azure,jack.azure@email.com,Prof. Kelly
424,Biology,Grace Azure,grace.azure@email.com,Prof. Kelly
390,Environmental Science,Olivia Magenta,olivia.magenta@email.com,Prof. Sam
460,Engineering,Rita Yellow,rita.yellow@university.edu,Prof. Kelly
179,Physics,Olivia Violet,olivia.violet@email.com,Prof. Dana
580,Political Science,Kelly White,kelly.white@student.org,Prof. Kelly
301,Anthropology,Olivia Red,olivia.red@university.edu,Prof. Grace
568,Geography,Kelly White,kelly.white@email.com,Prof. Quincy
119,Architecture,Dana Yellow,dana.yellow@university.edu,Prof. Dana
265,Anthropology,Mona Magenta,mona.magenta@student.org,Prof. Sam
547,Art,Paul Orange,paul.orange@student.org,Prof. Mona
268,Computer Science,Ivy Red,ivy.red@university.edu,Prof. Quincy
574,History,Quincy White,quincy.white@university.edu,Prof. Mona
192,History,Paul Purple,paul.purple@student.org,Prof. Alice
166,Sociology,Dana Davis,dana.davis@student.org,Prof. Nick
375,Biology,Dana White,dana.white@university.edu,Prof. Jack
521,Sociology,Quincy Black,quincy.black@university.edu,Prof. Olivia
178,Biology,Paul Purple,paul.purple@email.com,Prof. Hank
186,Sociology,Frank Violet,frank.violet@university.edu,Prof. Hank
165,Music,Charlie Black,charlie.black@university.edu,Prof. Sam
245,Psychology,Liam Blue,liam.blue@email.com,Prof. Paul
365,Computer Science,Alice Pink,alice.pink@student.org,Prof. Nick
401,Philosophy,Liam Gray,liam.gray@university.edu,Prof. Mona
141,Engineering,Dana Pink,dana.pink@student.org,Prof. Ivy
557,Architecture,Ivy Teal,ivy.teal@email.com,Prof. Grace
196,Statistics,Tina Orange,tina.orange@email.com,Prof. Liam
387,Statistics,Jack Black,jack.black@student.org,Prof. Liam
275,Philosophy,Kelly Johnson,kelly.johnson@university.edu,Prof. Sam
306,Chemistry,Nick White,nick.white@university.edu,Prof. Liam
413,Psychology,Kelly Teal,kelly.teal@student.org,Prof. Alice
400,Computer Science,Dana Violet,dana.violet@student.org,Prof. Dana
104,Biology,Tina Magenta,tina.magenta@student.org,Prof. Jack
469,History,Rita Blue,rita.blue@student.org,Prof. Sam
229,Environmental Science,Quincy Azure,quincy.azure@student.org,Prof. Jack
435,Political Science,Bob Azure,bob.azure@email.com,Prof. Rita
155,Biology,Quincy Indigo,quincy.indigo@email.com,Prof. Dana
288,Geography,Quincy Red,quincy.red@email.com,Prof. Olivia
538,Mathematics,Olivia Azure,olivia.azure@student.org,Prof. Hank
371,History,Ivy Red,ivy.red@student.org,Prof. Alice
193,Physics,Grace Brown,grace.brown@university.edu,Prof. Kelly
529,Art,Alice Pink,alice.pink@email.com,Prof. Hank
401,Engineering,Quincy Indigo,quincy.indigo@student.org,Prof. Alice
148,Chemistry,Alice Pink,alice.pink@student.org,Prof. Paul
447,History,Jack Orange,jack.orange@university.edu,Prof. Charlie
290,Engineering,Alice Gray,alice.gray@student.org,Prof. Hank
334,Mathematics,Olivia Yellow,olivia.yellow@university.edu,Prof. Charlie
386,Political Science,Kelly Indigo,kelly.indigo@email.com,Prof. Mona
251,Mathematics,Nick Magenta,nick.magenta@email.com,Prof. Eve
412,Biology,Grace Beige,grace.beige@student.org,Prof. Charlie
182,Engineering,Kelly Red,kelly.red@university.edu,Prof. Grace
338,History,Dana White,dana.white@university.edu,Prof. Alice
